list_number,is_target,test_position,type_general,type_specific,meanx
8,false,19,Fn,Fn+1,0.061224489795918366
8,false,22,Fn,Fn,0.7288135593220338
8,false,23,F,F,0.12962962962962962
8,true,24,Tn,Tn+1,0.8076923076923077
8,false,25,Fn,Fn+1,0.06666666666666667
9,false,2,Fn,Fn,0.7446808510638298
9,false,4,Tn,Tn,0.9655172413793104
9,false,5,SOn,SOn,0.6530612244897959
9,true,6,Tn,Tn+1,0.926829268292683
9,false,7,Fn,Fn,0.6326530612244898
9,false,10,F,F,0.0784313725490196
9,false,14,F,F,0.016666666666666666
9,false,15,Fn,Fn+1,0.04838709677419355
9,false,16,Tn,Tn,0.9523809523809523
9,false,20,Fn,Fn+1,0.0975609756097561
9,true,21,T,T,0.8705882352941177
9,false,23,SOn,SOn,0.7115384615384616
9,false,26,SOn,SOn,0.7954545454545454
9,false,27,F,F,0.06153846153846154
10,false,1,Fn,Fn+1,0.06818181818181818
10,false,2,F,F,0.10416666666666667
10,false,3,F,F,0.046511627906976744
10,false,6,F,F,0.04081632653061224
10,false,9,Tn,Tn,0.8846153846153846
10,true,14,Tn,Tn+1,0.9215686274509803
10,false,16,SOn,SOn,0.8723404255319149
10,false,20,SOn,SOn,0.6888888888888889
10,false,21,Fn,Fn,0.6530612244897959
10,false,25,Fn,Fn+1,0.02127659574468085
10,false,26,SOn,SOn,0.7380952380952381
10,true,28,T,T,0.9090909090909091
10,true,30,Tn,Tn+1,0.9622641509433962
1,true,3,Tn,Tn+1,0.9215686274509803
1,false,4,Fn,Fn+1,0.03125
1,true,20,Tn,Tn+1,0.9523809523809523
1,false,29,Fn,Fn+1,0.05555555555555555
2,true,3,Tn,Tn+1,0.9772727272727273
2,false,4,F,F,0.02040816326530612
2,true,6,T,T,0.8814432989690721
2,false,8,F,F,0.03508771929824561
2,false,9,SOn,SOn,0.8936170212765957
2,true,10,Tn,Tn+1,0.8604651162790697
2,false,11,Fn,Fn+1,0.021739130434782608
2,false,15,Fn,Fn,0.78
2,false,21,Fn,Fn+1,0.0392156862745098
2,false,23,Tn,Tn,0.9622641509433962
2,false,26,Fn,Fn+1,0.0
2,false,30,SOn,SOn,0.9333333333333333
3,false,1,Fn,Fn+1,0.04
3,true,2,Tn,Tn+1,0.9285714285714286
3,false,9,Tn,Tn,1.0
3,true,10,T,T,0.919047619047619
3,true,11,Tn,Tn+1,0.9333333333333333
3,true,12,T,T,0.9
3,false,19,Fn,Fn,0.85
3,true,27,Tn,Tn+1,0.9285714285714286
3,false,30,Fn,Fn+1,0.12962962962962962
4,false,6,SOn,SOn,0.7966101694915254
4,true,10,Tn,Tn+1,0.8181818181818182
4,false,11,Fn,Fn+1,0.0
4,false,13,Fn,Fn+1,0.018518518518518517
4,false,19,Tn,Tn,0.9464285714285714
4,false,23,F,F,0.03125
4,false,25,Fn,Fn,0.8571428571428571
4,true,29,Tn,Tn+1,0.8823529411764706
4,false,30,SOn,SOn,0.851063829787234
5,false,3,SOn,SOn,0.6949152542372882
5,false,10,SOn,SOn,0.7380952380952381
5,false,13,Fn,Fn,0.8148148148148148
5,false,16,Fn,Fn+1,0.043478260869565216
5,false,17,F,F,0.03571428571428571
5,true,20,Tn,Tn+1,0.7966101694915254
5,true,27,T,T,0.8523809523809524
6,true,2,Tn,Tn+1,0.8431372549019608
6,false,4,Tn,Tn,0.9206349206349206
6,false,7,F,F,0.04918032786885246
6,false,8,Fn,Fn+1,0.05
6,false,13,Tn,Tn,0.9375
6,false,18,SOn,SOn,0.8444444444444444
6,false,21,Fn,Fn,0.76
6,false,25,Fn,Fn,0.746031746031746
6,true,30,T,T,0.8861386138613861
7,false,1,F,F,0.0
7,false,5,SOn,SOn,0.6
7,false,9,F,F,0.04
7,false,17,SOn,SOn,0.7045454545454546
7,false,20,Fn,Fn+1,0.07317073170731707
7,false,25,Fn,Fn+1,0.10714285714285714
7,false,26,Fn,Fn+1,0.0
7,true,27,Tn,Tn+1,0.9090909090909091
7,false,28,F,F,0.06
8,false,1,F,F,0.0196078431372549
8,false,5,SOn,SOn,0.625
8,true,9,Tn,Tn+1,0.8113207547169812
8,true,11,Tn,Tn+1,0.8431372549019608
8,false,13,Fn,Fn,0.7258064516129032
8,false,22,Fn,Fn+1,0.03125
8,false,23,SOn,SOn,0.7727272727272727
8,false,24,Tn,Tn,0.9583333333333334
8,false,26,Fn,Fn+1,0.11627906976744186
8,false,28,F,F,0.08888888888888889
9,true,2,Tn,Tn+1,0.8571428571428571
9,false,8,Tn,Tn,0.9454545454545454
9,false,11,F,F,0.0
9,false,12,Fn,Fn+1,0.0196078431372549
9,true,13,Tn,Tn+1,0.9056603773584906
9,false,20,Fn,Fn,0.7391304347826086
9,false,22,SOn,SOn,0.7258064516129032
9,false,27,Fn,Fn,0.775
10,false,2,Fn,Fn,0.6046511627906976
10,false,4,Fn,Fn,0.5102040816326531
10,false,7,Fn,Fn+1,0.041666666666666664
10,false,11,F,F,0.0
10,false,17,Fn,Fn+1,0.038461538461538464
10,false,19,Fn,Fn+1,0.02
10,false,22,SOn,SOn,0.6341463414634146
10,false,23,SOn,SOn,0.7868852459016393
10,true,26,T,T,0.9119170984455959
10,false,27,Tn,Tn,0.9454545454545454
10,false,30,SOn,SOn,0.8333333333333334
1,true,18,Tn,Tn+1,0.9615384615384616
1,false,20,Fn,Fn+1,0.02
1,true,23,Tn,Tn+1,0.9607843137254902
1,false,26,Fn,Fn+1,0.06382978723404255
2,true,1,Tn,Tn+1,0.7857142857142857
2,false,2,Tn,Tn,0.926829268292683
2,false,4,Fn,Fn,0.7441860465116279
2,false,5,SOn,SOn,0.84
2,false,11,F,F,0.023255813953488372
2,false,12,Fn,Fn+1,0.05084745762711865
2,false,13,Tn,Tn,0.975609756097561
2,true,21,Tn,Tn+1,0.9361702127659575
2,false,25,Fn,Fn,0.8679245283018868
2,true,28,Tn,Tn+1,0.9375
3,false,2,Fn,Fn+1,0.06
3,false,7,Tn,Tn,0.96
3,false,23,Fn,Fn,0.8333333333333334
3,false,24,Tn,Tn,1.0
3,true,29,Tn,Tn+1,0.8888888888888888
4,true,2,Tn,Tn+1,0.8688524590163934
4,false,11,Fn,Fn,0.7368421052631579
4,false,13,Tn,Tn,0.98
4,false,14,SOn,SOn,0.7719298245614035
4,false,19,SOn,SOn,0.7307692307692307
4,true,23,Tn,Tn+1,0.74
4,false,24,F,F,0.0
